"","x"
"CL0000192.1119",25
"CL0000192.1120",25
"CL0000192.1121",25
"CL0000192.1122",25
"CL0000192.1123",24
"CL0000192.1124",25
"CL0000192.1125",25
"CL0000192.1126",25
"CL0000192.1127",25
"CL0000192.1128",25
"CL0000192.1129",24
"CL0000192.1130",25
"CL0000192.1131",25
"CL0000192.1132",25
"CL0000192.1133",25
"CL0000192.1134",24
"CL0000192.1135",25
"CL0000192.1136",24
"CL0000192.1137",25
"CL0000192.1138",25
"CL0000192.1139",25
"CL0000192.1140",24
"CL0000192.1141",25
"CL0000192.1142",25
"CL0000192.1143",25
"CL0000192.1144",25
"CL0000192.1145",24
"CL0000192.1146",25
"CL0000192.1147",25
"CL0000192.1148",25
"CL0000192.1149",25
"CL0000192.1150",25
"CL0000192.1151",25
"CL0000192.1152",24
"CL0000192.1153",25
"CL0000192.1154",25
"CL0000192.1155",24
"CL0000192.1156",24
"CL0000192.1157",25
"CL0000192.1158",24
"CL0000192.1159",25
"CL0000192.1160",25
"CL0000192.1161",24
"CL0000192.1162",25
"CL0000192.1163",25
"CL0000192.1164",25
"CL0000192.1165",25
"CL0000192.1166",25
"CL0000192.1167",25
"CL0000192.1168",24
"CL0000192.1169",24
"CL0000192.1170",24
"CL0000192.1171",25
"CL0000192.1172",24
"CL0000192.1173",25
"CL0000192.1174",25
"CL0000192.1175",25
"CL0000192.1176",24
"CL0000192.1177",25
"CL0000192.1178",25
"CL0000192.1179",25
"CL0000192.1180",25
"CL0000192.1181",25
"CL0000192.1182",25
"CL0000192.1183",24
"CL0000192.1184",25
"CL0000192.1185",24
"CL0000192.1186",25
"CL0000192.1187",25
"CL0000192.1188",24
"CL0000192.1189",24
"CL0000192.1190",21
"CL0000192.1191",25
"CL0000192.1192",25
"CL0000192.1193",25
"CL0000192.1194",24
"CL0000192.1195",25
"CL0000192.1196",25
"CL0000192.1197",24
"CL0000192.1198",24
"CL0000192.1199",25
"CL0000192.1200",24
"CL0000192.1201",25
"CL0000192.1202",25
"CL0000192.1203",24
"CL0000192.1204",24
"CL0000192.1205",24
"CL0000192.1206",24
"CL0000192.1207",21
"CL0000192.1208",24
"CL0000192.1209",24
"CL0000192.1210",25
"CL0000192.1211",24
"CL0000192.1212",24
"CL0000192.1213",24
"CL0000192.1214",24
"CL0000192.1215",24
"CL0000192.1216",24
"CL0000192.1217",24
"CL0000192.1218",24
"CL0000192.1219",24
"CL0000192.1220",24
"CL0000192.1221",24
"CL0000192.1222",24
"CL0000192.1223",24
"CL0000192.1224",24
"CL0000192.1225",24
"CL0000192.1226",24
"CL0000192.1227",24
"CL0000192.1228",24
"CL0000192.1229",25
"CL0000192.1230",24
"CL0000192.1231",24
"CL0000192.1232",24
"CL0000192.1233",24
"CL0000192.1234",24
"CL0000192.1235",24
"CL0000192.1236",24
"CL0000192.1237",24
"CL0000192.1238",24
"CL0000192.1239",24
"CL0000192.1240",24
"CL0000192.1241",24
"CL0000192.1242",25
"CL0000192.1243",24
"CL0000192.1244",24
"CL0000192.1245",24
"CL0000192.1246",24
"CL0000192.1247",24
