"","x"
"CL0000192.831",98
"CL0000192.832",99
"CL0000192.833",102
"CL0000192.834",106
"CL0000192.835",102
"CL0000192.836",98
"CL0000192.837",106
"CL0000192.838",103
"CL0000192.839",100
"CL0000192.840",105
"CL0000192.841",98
"CL0000192.842",107
"CL0000192.843",106
"CL0000192.844",103
"CL0000192.845",99
"CL0000192.846",98
"CL0000192.847",107
"CL0000192.848",116
"CL0000192.849",98
"CL0000192.850",100
"CL0000192.851",99
"CL0000192.852",103
"CL0000192.853",104
"CL0000192.854",107
"CL0000192.855",106
"CL0000192.856",98
"CL0000192.857",106
"CL0000192.858",99
"CL0000192.859",106
"CL0000192.860",106
"CL0000192.861",106
"CL0000192.862",100
"CL0000192.863",105
"CL0000192.864",100
"CL0000192.865",99
"CL0000192.866",103
"CL0000192.867",103
"CL0000192.868",99
"CL0000192.869",106
"CL0000192.870",98
"CL0000192.871",112
"CL0000192.872",100
"CL0000192.873",104
"CL0000192.874",99
"CL0000192.875",103
"CL0000192.876",107
"CL0000192.877",99
"CL0000192.878",99
"CL0000192.879",105
"CL0000192.880",105
"CL0000192.881",99
"CL0000192.882",107
"CL0000192.883",99
"CL0000192.884",105
"CL0000192.885",99
"CL0000192.886",102
"CL0000192.887",109
"CL0000192.888",107
"CL0000192.889",98
"CL0000192.890",99
"CL0000192.891",103
"CL0000192.892",105
"CL0000192.893",100
"CL0000192.894",106
"CL0000192.895",99
"CL0000192.896",104
"CL0000192.897",106
"CL0000192.898",105
"CL0000192.899",100
"CL0000192.900",99
"CL0000192.901",108
"CL0000192.902",102
"CL0000192.903",105
"CL0000192.904",116
"CL0000192.905",106
"CL0000192.906",100
"CL0000192.907",106
"CL0000192.908",100
"CL0000192.909",108
"CL0000192.910",110
"CL0000192.911",105
"CL0000192.912",105
"CL0000192.913",100
"CL0000192.914",107
"CL0000192.915",99
"CL0000192.916",100
"CL0000192.917",98
"CL0000192.918",106
"CL0000192.919",112
"CL0000192.920",101
"CL0000192.921",100
"CL0000192.922",115
"CL0000192.923",98
"CL0000192.924",99
"CL0000192.925",107
"CL0000192.926",107
"CL0000192.927",106
"CL0000192.928",99
"CL0000192.929",98
"CL0000192.930",98
"CL0000192.931",100
"CL0000192.932",106
"CL0000192.933",100
"CL0000192.934",107
"CL0000192.935",98
"CL0000192.936",99
"CL0000192.937",105
"CL0000192.938",105
"CL0000192.939",104
"CL0000192.940",105
"CL0000192.941",106
"CL0000192.942",100
"CL0000192.943",98
"CL0000192.944",107
"CL0000192.945",98
"CL0000192.946",98
"CL0000192.947",99
"CL0000192.948",99
"CL0000192.949",99
"CL0000192.950",98
"CL0000192.951",98
